epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,90.8097,1.21684,7.83904,1.24836,0.90199,0.02524,0.08161,0.04216,1.36177,3.48771,1.62739,0.000415051,0.00013835,0.000415051,0.00013835,0.000415051,0.00013835,0.000415051,0.00013835
2,160.953,1.18921,6.79106,1.18712,0.68046,0.13755,0.17927,0.09239,1.34847,2.73535,1.52784,0.000815577,0.000271859,0.000815577,0.000271859,0.000815577,0.000271859,0.000815577,0.000271859
3,226.024,1.15185,5.99097,1.16198,0.67034,0.26837,0.34548,0.19406,1.34614,2.38385,1.50068,0.00119959,0.000399863,0.00119959,0.000399863,0.00119959,0.000399863,0.00119959,0.000399863
4,289.358,1.13281,5.58146,1.13019,0.47249,0.41029,0.42753,0.23095,1.38504,1.98119,1.45987,0.00117669,0.00039223,0.00117669,0.00039223,0.00117669,0.00039223,0.00117669,0.00039223
5,352.527,1.11611,5.16246,1.1196,0.66795,0.48618,0.51326,0.3094,1.38098,1.63186,1.46748,0.00115192,0.000383974,0.00115192,0.000383974,0.00115192,0.000383974,0.00115192,0.000383974
6,415.441,1.12802,4.86677,1.11443,0.63609,0.52627,0.55348,0.3159,1.42039,1.45333,1.48436,0.00112715,0.000375717,0.00112715,0.000375717,0.00112715,0.000375717,0.00112715,0.000375717
7,478.666,1.11968,4.57833,1.10606,0.68688,0.54622,0.62561,0.36639,1.41504,1.40121,1.47635,0.00110238,0.00036746,0.00110238,0.00036746,0.00110238,0.00036746,0.00110238,0.00036746
8,541.655,1.0921,4.41636,1.08995,0.72738,0.57364,0.6724,0.38383,1.44568,1.26527,1.46661,0.00107761,0.000359204,0.00107761,0.000359204,0.00107761,0.000359204,0.00107761,0.000359204
9,604.732,1.09091,4.21835,1.08922,0.67482,0.60611,0.6804,0.3986,1.36606,1.23536,1.46954,0.00105284,0.000350947,0.00105284,0.000350947,0.00105284,0.000350947,0.00105284,0.000350947
10,667.765,1.08858,4.07621,1.09036,0.67266,0.61128,0.66738,0.40715,1.32806,1.3034,1.39895,0.00102807,0.000342691,0.00102807,0.000342691,0.00102807,0.000342691,0.00102807,0.000342691
11,730.949,1.05948,3.89289,1.08099,0.70387,0.66829,0.71783,0.42372,1.4597,1.13089,1.52347,0.0010033,0.000334434,0.0010033,0.000334434,0.0010033,0.000334434,0.0010033,0.000334434
12,793.917,1.06776,3.76473,1.07399,0.74821,0.62451,0.73679,0.45296,1.38968,1.0862,1.47368,0.000978532,0.000326177,0.000978532,0.000326177,0.000978532,0.000326177,0.000978532,0.000326177
13,857.202,1.05438,3.56595,1.0628,0.78521,0.62389,0.72884,0.42279,1.47988,1.07019,1.54769,0.000953762,0.000317921,0.000953762,0.000317921,0.000953762,0.000317921,0.000953762,0.000317921
14,920.379,1.0469,3.47964,1.06596,0.71902,0.7136,0.77677,0.4651,1.37116,1.10122,1.4557,0.000928993,0.000309664,0.000928993,0.000309664,0.000928993,0.000309664,0.000928993,0.000309664
15,983.514,1.02842,3.31032,1.05704,0.64474,0.73487,0.76,0.4605,1.382,1.10971,1.48377,0.000904223,0.000301408,0.000904223,0.000301408,0.000904223,0.000301408,0.000904223,0.000301408
16,1046.47,1.03537,3.19347,1.06376,0.71922,0.71348,0.77588,0.47926,1.38692,1.03924,1.46902,0.000879453,0.000293151,0.000879453,0.000293151,0.000879453,0.000293151,0.000879453,0.000293151
17,1109.69,1.01917,3.12469,1.05676,0.70935,0.72381,0.77631,0.46633,1.4241,0.93025,1.49332,0.000854683,0.000284894,0.000854683,0.000284894,0.000854683,0.000284894,0.000854683,0.000284894
18,1172.57,1.01222,2.98676,1.05596,0.8004,0.67284,0.80328,0.48612,1.43977,0.97176,1.51692,0.000829913,0.000276638,0.000829913,0.000276638,0.000829913,0.000276638,0.000829913,0.000276638
19,1235.73,1.01988,2.85076,1.05393,0.69103,0.7368,0.74955,0.45525,1.39436,1.0055,1.48991,0.000805144,0.000268381,0.000805144,0.000268381,0.000805144,0.000268381,0.000805144,0.000268381
20,1298.55,0.99986,2.7601,1.04779,0.73758,0.7212,0.79426,0.47668,1.422,0.99742,1.50362,0.000780374,0.000260125,0.000780374,0.000260125,0.000780374,0.000260125,0.000780374,0.000260125
21,1361.71,0.99646,2.69141,1.04239,0.75219,0.73015,0.80035,0.48964,1.49158,0.93133,1.53696,0.000755604,0.000251868,0.000755604,0.000251868,0.000755604,0.000251868,0.000755604,0.000251868
22,1424.72,0.99988,2.57834,1.0399,0.79351,0.66061,0.78043,0.47796,1.45139,0.98561,1.55031,0.000730834,0.000243611,0.000730834,0.000243611,0.000730834,0.000243611,0.000730834,0.000243611
23,1487.93,0.9891,2.46338,1.03699,0.79258,0.72648,0.80259,0.47429,1.53051,0.90077,1.60466,0.000706064,0.000235355,0.000706064,0.000235355,0.000706064,0.000235355,0.000706064,0.000235355
24,1551.01,0.98083,2.43899,1.03679,0.74646,0.78067,0.78241,0.46608,1.50228,0.92154,1.61099,0.000681295,0.000227098,0.000681295,0.000227098,0.000681295,0.000227098,0.000681295,0.000227098
25,1613.94,0.98419,2.35823,1.04382,0.83065,0.69722,0.78844,0.47899,1.4943,0.87957,1.57787,0.000656525,0.000218842,0.000656525,0.000218842,0.000656525,0.000218842,0.000656525,0.000218842
26,1677,0.97169,2.25717,1.02448,0.86898,0.68514,0.78002,0.47563,1.48354,0.93035,1.56985,0.000631755,0.000210585,0.000631755,0.000210585,0.000631755,0.000210585,0.000631755,0.000210585
27,1740.03,0.96295,2.16813,1.03255,0.84393,0.68605,0.78518,0.47392,1.47648,0.87156,1.55391,0.000606985,0.000202328,0.000606985,0.000202328,0.000606985,0.000202328,0.000606985,0.000202328
28,1802.95,0.95813,2.08342,1.02787,0.85385,0.72739,0.83823,0.5006,1.48512,0.81251,1.58283,0.000582215,0.000194072,0.000582215,0.000194072,0.000582215,0.000194072,0.000582215,0.000194072
29,1866.08,0.94372,2.01488,1.0197,0.81494,0.73,0.80902,0.49728,1.48048,0.81821,1.59145,0.000557446,0.000185815,0.000557446,0.000185815,0.000557446,0.000185815,0.000557446,0.000185815
30,1928.94,0.94555,1.96416,1.02095,0.83423,0.74464,0.81823,0.49725,1.51089,0.82944,1.62641,0.000532676,0.000177559,0.000532676,0.000177559,0.000532676,0.000177559,0.000532676,0.000177559
31,1991.96,0.94758,1.91516,1.02554,0.81701,0.72495,0.80521,0.4907,1.50698,0.82015,1.62782,0.000507906,0.000169302,0.000507906,0.000169302,0.000507906,0.000169302,0.000507906,0.000169302
32,2054.77,0.95775,1.87284,1.02621,0.82279,0.71703,0.81337,0.47738,1.48473,0.83825,1.61649,0.000483136,0.000161045,0.000483136,0.000161045,0.000483136,0.000161045,0.000483136,0.000161045
33,2117.94,0.93769,1.82112,1.01979,0.74874,0.78868,0.8171,0.48989,1.49834,0.82332,1.6238,0.000458366,0.000152789,0.000458366,0.000152789,0.000458366,0.000152789,0.000458366,0.000152789
34,2180.91,0.92514,1.78686,1.01658,0.794,0.73066,0.80749,0.46749,1.4788,0.91239,1.62142,0.000433597,0.000144532,0.000433597,0.000144532,0.000433597,0.000144532,0.000433597,0.000144532
35,2244.14,0.93099,1.73725,1.01048,0.77657,0.75938,0.84495,0.50161,1.51219,0.79234,1.61145,0.000408827,0.000136276,0.000408827,0.000136276,0.000408827,0.000136276,0.000408827,0.000136276
36,2307.13,0.90317,1.65544,1.00553,0.85605,0.79199,0.85988,0.49564,1.48676,0.77809,1.62886,0.000384057,0.000128019,0.000384057,0.000128019,0.000384057,0.000128019,0.000384057,0.000128019
37,2370.32,0.90982,1.63677,1.00655,0.86467,0.71382,0.84312,0.50109,1.48395,0.79324,1.61762,0.000359287,0.000119762,0.000359287,0.000119762,0.000359287,0.000119762,0.000359287,0.000119762
38,2433.55,0.90446,1.59486,1.00874,0.8568,0.73451,0.82276,0.49417,1.50154,0.8044,1.65493,0.000334517,0.000111506,0.000334517,0.000111506,0.000334517,0.000111506,0.000334517,0.000111506
39,2497.01,0.91462,1.58261,1.00972,0.85647,0.75102,0.83464,0.48947,1.52506,0.76399,1.67383,0.000309748,0.000103249,0.000309748,0.000103249,0.000309748,0.000103249,0.000309748,0.000103249
40,2560.14,0.90188,1.54982,1.01015,0.76377,0.79118,0.81627,0.48425,1.52954,0.7645,1.6604,0.000284978,9.49926e-05,0.000284978,9.49926e-05,0.000284978,9.49926e-05,0.000284978,9.49926e-05
41,2625.4,0.8628,2.09093,1.01149,0.84488,0.77667,0.84905,0.49005,1.52728,0.76162,1.67221,0.000260208,8.6736e-05,0.000260208,8.6736e-05,0.000260208,8.6736e-05,0.000260208,8.6736e-05
42,2688.02,0.8339,2.0024,0.99641,0.82077,0.79637,0.85195,0.5051,1.53558,0.74589,1.68587,0.000235438,7.84794e-05,0.000235438,7.84794e-05,0.000235438,7.84794e-05,0.000235438,7.84794e-05
43,2750.85,0.83695,1.94747,0.99385,0.81711,0.7867,0.86276,0.50555,1.53757,0.75566,1.68827,0.000210668,7.02228e-05,0.000210668,7.02228e-05,0.000210668,7.02228e-05,0.000210668,7.02228e-05
44,2813.21,0.82254,1.9051,0.99195,0.79799,0.76869,0.82979,0.48488,1.54045,0.80832,1.67569,0.000185899,6.19662e-05,0.000185899,6.19662e-05,0.000185899,6.19662e-05,0.000185899,6.19662e-05
45,2875.92,0.81662,1.86611,0.98678,0.76712,0.71587,0.80684,0.48791,1.52312,0.80381,1.69104,0.000161129,5.37096e-05,0.000161129,5.37096e-05,0.000161129,5.37096e-05,0.000161129,5.37096e-05
46,2938.74,0.80595,1.82682,0.98273,0.75693,0.79175,0.8201,0.48149,1.55222,0.7989,1.71262,0.000136359,4.5453e-05,0.000136359,4.5453e-05,0.000136359,4.5453e-05,0.000136359,4.5453e-05
47,3001.66,0.81106,1.7981,0.98696,0.79423,0.79612,0.83814,0.49021,1.56367,0.77786,1.71955,0.000111589,3.71964e-05,0.000111589,3.71964e-05,0.000111589,3.71964e-05,0.000111589,3.71964e-05
