epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,1373.21,0.91592,1.17438,1.05273,0.85168,0.80375,0.87358,0.51152,1.46877,0.85853,1.46643,0.000532676,0.000177559,0.000532676,0.000177559,0.000532676,0.000177559,0.000532676,0.000177559
31,1417.87,0.9179,1.15824,1.05038,0.82042,0.77769,0.85392,0.5125,1.43779,0.86922,1.45419,0.000507906,0.000169302,0.000507906,0.000169302,0.000507906,0.000169302,0.000507906,0.000169302
32,1462.54,0.92269,1.15965,1.0546,0.89624,0.7718,0.86298,0.50404,1.44203,0.86953,1.45384,0.000483136,0.000161045,0.000483136,0.000161045,0.000483136,0.000161045,0.000483136,0.000161045
33,1507.14,0.90981,1.15692,1.04861,0.78274,0.86426,0.87341,0.50913,1.45142,0.8832,1.48402,0.000458366,0.000152789,0.000458366,0.000152789,0.000458366,0.000152789,0.000458366,0.000152789
34,1551.87,0.90919,1.15699,1.04935,0.82746,0.82392,0.87071,0.51678,1.43642,0.8607,1.46286,0.000433597,0.000144532,0.000433597,0.000144532,0.000433597,0.000144532,0.000433597,0.000144532
35,1596.85,0.90925,1.14678,1.04652,0.81091,0.77856,0.85942,0.50439,1.43969,0.85888,1.46597,0.000408827,0.000136276,0.000408827,0.000136276,0.000408827,0.000136276,0.000408827,0.000136276
36,1641.62,0.88777,1.10945,1.03794,0.92043,0.77812,0.87331,0.50098,1.42987,0.88506,1.46927,0.000384057,0.000128019,0.000384057,0.000128019,0.000384057,0.000128019,0.000384057,0.000128019
37,1686.65,0.89728,1.11893,1.04017,0.88671,0.81399,0.86304,0.50813,1.42329,0.88311,1.43669,0.000359287,0.000119762,0.000359287,0.000119762,0.000359287,0.000119762,0.000359287,0.000119762
38,1731.41,0.88926,1.10162,1.04249,0.84564,0.82229,0.8755,0.50182,1.45742,0.86124,1.46477,0.000334517,0.000111506,0.000334517,0.000111506,0.000334517,0.000111506,0.000334517,0.000111506
39,1776.31,0.89077,1.11862,1.03862,0.93417,0.77157,0.87524,0.5091,1.44533,0.87066,1.46751,0.000309748,0.000103249,0.000309748,0.000103249,0.000309748,0.000103249,0.000309748,0.000103249
40,1821.09,0.8808,1.10662,1.03451,0.93192,0.76181,0.85984,0.49185,1.45523,0.84809,1.46477,0.000284978,9.49926e-05,0.000284978,9.49926e-05,0.000284978,9.49926e-05,0.000284978,9.49926e-05
41,1867.43,0.87306,1.38494,1.03336,0.90779,0.77856,0.86937,0.50182,1.45103,0.87681,1.51838,0.000260208,8.6736e-05,0.000260208,8.6736e-05,0.000260208,8.6736e-05,0.000260208,8.6736e-05
42,1911.81,0.85205,1.33078,1.02306,0.93443,0.74795,0.85103,0.49764,1.47249,0.87561,1.48927,0.000235438,7.84794e-05,0.000235438,7.84794e-05,0.000235438,7.84794e-05,0.000235438,7.84794e-05
43,1956.26,0.8463,1.32334,1.01737,0.88892,0.7983,0.86137,0.50668,1.4485,0.85413,1.4773,0.000210668,7.02228e-05,0.000210668,7.02228e-05,0.000210668,7.02228e-05,0.000210668,7.02228e-05
44,2000.68,0.83957,1.31708,1.01436,0.84517,0.7821,0.86032,0.49712,1.45507,0.85858,1.48791,0.000185899,6.19662e-05,0.000185899,6.19662e-05,0.000185899,6.19662e-05,0.000185899,6.19662e-05
45,2045.24,0.83426,1.30584,1.01414,0.92788,0.77769,0.88153,0.51972,1.44221,0.85857,1.47217,0.000161129,5.37096e-05,0.000161129,5.37096e-05,0.000161129,5.37096e-05,0.000161129,5.37096e-05
46,2089.61,0.82492,1.29372,1.00786,0.88455,0.80094,0.85864,0.49974,1.44678,0.86734,1.48365,0.000136359,4.5453e-05,0.000136359,4.5453e-05,0.000136359,4.5453e-05,0.000136359,4.5453e-05
47,2133.97,0.83243,1.29745,1.01077,0.8629,0.81714,0.87095,0.51523,1.45057,0.84631,1.48769,0.000111589,3.71964e-05,0.000111589,3.71964e-05,0.000111589,3.71964e-05,0.000111589,3.71964e-05
48,2178.23,0.82505,1.28491,1.00933,0.87322,0.80683,0.8756,0.51085,1.46127,0.83901,1.5047,8.68194e-05,2.89398e-05,8.68194e-05,2.89398e-05,8.68194e-05,2.89398e-05,8.68194e-05,2.89398e-05
49,2222.68,0.82453,1.28469,1.00578,0.85074,0.8169,0.87341,0.51102,1.45143,0.85175,1.48957,6.20496e-05,2.06832e-05,6.20496e-05,2.06832e-05,6.20496e-05,2.06832e-05,6.20496e-05,2.06832e-05
50,2267.17,0.81896,1.28134,1.0033,0.86125,0.82627,0.88153,0.51765,1.45387,0.84238,1.48378,3.72798e-05,1.24266e-05,3.72798e-05,1.24266e-05,3.72798e-05,1.24266e-05,3.72798e-05,1.24266e-05
